Category,Key,English,Bulgarian,Notes
main menu,menu1,Continue Game,Продължи игра,
,menu2,Start Game,Нова игра,
,menu3,Start Game from Matthew,Започни игра от Матю,
,menu4,Options,Настройки,
,menu5,Quit Game,Излез,
options,opt1,Music Volume,Ниво на музиката,
,opt2,SFX Volume,Звукови ефекти,
,opt3,Item Animation Speed,Скорост на анимацията,
,opt4,Brightness,Яркост,
,opt5,Rotate,Въртене,
,opt6,FPS,FPS,
,opt7,Screen Size,Размер на екрана,
,opt8,Quality,Качество,
,opt9,Language,Език,
,opt10,Return to Menu,Назад към менюто,
,clickMe,Click me!,Натисни ме!,
,sellHere,Drag to me to Sell,"Влачи дотук, за да продадеш",
,noMoreSale,I only buy three items!,Купувам само по три предмета!,
,on,on,включено,
,off,off,изключено,
,windowed,windowed,прозорец,
,full screen,full screen,пълен екран,
,borderless,borderless,без рамка,
,unlimited,unlimited,неограничено,
,low,low,ниско,
,medium,medium,средно,
,high,high,високо,
gameManagerMessages,gmreo,Reorganize now to claim this item!,"Пренареди сега, за да взема този предмет!",
,gm1,Finished!,Готово!,
,gm2,Must be in an empty room!,Трябва да съм в празна стая!,
,gm3,Cannot save right now!,Не мога да запиша сега!,
,gm4,Complete tutorial to save!,"Трябва да завърша увода, за да запиша!",
,gm5,Cannnot save while moving!,"Не мога да запиша, докато се движа!",
,gm6,Finale,Финал,
,gm7,Part /x of /y,"Част /x от /y",
,gm8,Finished Choosing,Приключих с избирането,
,gm9,Can't take more items,Не мога да взема повече предмети,
,gm10,Take /x items,Вземи /x предмета,
,gm11,Take 1 item,Вземи 1 предмет,
,gmb,Battle Start!,Начало на битка!,
,gmpt,Player Turn!,Мор ред!,
,gmet,Enemy Turn!,Техен ред!,
,gm12,You win!,Печеля!,
,gm13,Level Up!,Качих ниво!,
,gm14,Get items!,Вземи предмети!,
,gm15,Not enough energy,Нямам достатъчно енергия,
,gm16,Any items left outside the backpack will be lost,"Ще загубя всички предмети, които оставя извън раницата",
,gm17,Finished Reorganizing,Приключих с пренареждането,
,gm18,Save Failed!,Неуспешен запис!,
,gm19,You have been cursed!,Бях прокълнат!,
,gm20,Skip curse. Take /x damage,"Ще игнорирам проклятието, но ще поема /x щета",
,gm21,Choose an item,Избери предмет,
,gm22,Never Mind,Зарежи,as a response when not selecting an item
,gm23,You must place all curses!,Трябва да поставя всички проклятия!,
,gm24,Cannot be combined with selected item,Не може да се комбинира с избрания предмет,
,gm25,Cannot be used!,Не може да се използва!,
,gm26,Not enough connected Mana,Нямам достатъчно свързана мана,
,gm27,Not enough Gold,Нямам достатъчно злато,
,gm28,No more uses this combat,Не мога да го ползва повече в тази битка,
,gm29,No more uses this turn,Не мога да го ползвам повече този ход,
,gm30,No more uses,Не мога да го ползвам повече,
,gm31,This item is disabled,Не мога да ползвам този предмет,
,gm32,Anchored,Закотвен,
,gm33,Cannot move a curse,Не мога да местиш проклятие,
,gm34,Cannot move here,Не мога да го преместя тук,
,gm35,Cannot afford,Не мога да си го позволя,
,gm36,Cannot place here,Не мога да го поставя тук,
,gm37,Finish Battle to Continue,"Трябва да приключи битката, за да продължа",
,gm38,Can't move here!,Не мога да стигна до там!,
,gm39,Pathway blocked!,Пътят е блокиран!,
,gm40,Game Loaded,Играта беше заредена,
,gm41,Game Saved,Играта беше записана,
,retry,retry,опитай пак,
,gm42,Choose /x spaces,Избери /x места,
,gmSatchel1,Items must be placed on a rune space!,Предметите трябва да се поставят на място с руна!,
,gmSatchel2,You can't move items once they're crammed in!,"Не мога да местя предмети, когато си се натъпкал!",
,gmSatchel3,There's no space to cram it in!,Нямам място да го напътча!,
minigames,mini1,Spin /x gold,Завърти за /x злато,
,mini2,Spin - free,Завърти - безплатно,
,mini3,Can't leave yet,Не мога да изляза още,
,mini4,Finish your guess to leave,"Трябва да приключа с опитите, за да изляза",
,mini5,No more guesses!,Нямам повече опити!,
,mini6,Matching,Съвпадащи,
,mini7,You have /x guesses remaining,Остават ми /x опита,
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,"Щракай по предметите, за да ги използваш в битка. Трябва да победиш всички противници, за да продължиш.",
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!","Добави всички предмети в раницата си, за да продължиш! Натисни дясното копче на мишката или стрелка, докато държиш предмет, за да го завъртиш!",
enemyCards,enemyXP,You will get /x experience for defeating this enemy,"Ще получиш /x опит, ако победиш този противник",
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""","Бъзльо! Ще избяга, ако останат само бъзльовци",
,enemyS,This enemy is a summon,Този противник е призован,
,enemyHP,HP: /x / /y,Живот: /x / /y,"example: ""HP: 3 / 5"""
enemies,Броненосец,Armadillo,Armadillo,
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,Тези броненосци са известни със защитните си умения! И вонята си!,
,Badger Boss,Badger Boss,Шефът на Язовците,
,Badger Boss1,The Badger Boss is a true threat!,Шефът на Язовеците е истинска заплаха!,
,Badger,Badger,Язовец,
,Badger1,You never see these guys alone. So annoying!,Никога не са сами. Много досадно!,
,Bandit Lord,Bandit Lord,Шефът на бандитите,
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,Не е ли бунтуването срещу властта смисълът да си бандит?,
,Bat,Bat,Прилеп,
,Bat1,These bats don't drink... wine...,Тези прилепи не пият... вино...,
,Blademaster,Blade Master,Майстор на острието,
,Blademaster1,"""You seem a decent fellow, I hate to kill you""","""Изглеждаш ми свестен, ще трябва да те убия""",
,Bearded Dragon,Bearded Dragon,Брадат Дракон,
,Bearded Dragon1,Karate practice is a way of life,Практикуването на карате е начин на живот,
,Blue Slime,Blue Slime,Синя Слуз,
,Blue Slime1,Blueberry flavor! Mmm!,С вкус на боровинка! Мхм!,
,Crossbowman,Crossbowman,Арбалетчик,
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,
,Crow Bandit,Crow Bandit,Врана Бандит,
,Crow Bandit1,They'll take your stuff and fly off,Взимат ти нещатата и отлитат,
,Cultist Blade,Cultist Blade,Култистко Острие,
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,От ръката му виси златна верижка - идол към шефа му,
,Cultist,Cultist,Култист,
,Cultist1,The cult is a pathway to many unnatural abilities,Култът е път към много неестествени умения,
,Elder Mage,Elder Mage,Старши Магьосник,
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,От ръката му виси златна верижка - идол към шефа му,
,Ferret King,Ferret King,Цар Пор,
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,"Би бил сладък, ако не беше толкова избухлив",
,Fire Gecko,Fire Gecko,Огнен Гущер,
,Fire Gecko1,"Years of training, but no match for a magical backpack","Години тренивока, но въпреки това не може да се сравянява с магичека раница",
,Frog Wizard,Frog Wizard,Жабок Магьосник,
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,"Жабоците знаят за специална магия, която се появява от време на време в сряда",
,Gerbil Ruffian,Gerbil Ruffian,Джербил Главорез,
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,"Има слух, че джербилите някога, преди основаването на Ордерия, били домашни животни. Тези прераснали чудовища обаче те карат да се съмняваш.",
,Glory Knight,Glory Knight,Славен Рицар,
,Glory Knight1,Courageous heroes who have lost their way,"Смели герои, които са загубили пътя си",
,Grandmaster,Grandmaster,Велик Майстор,
,Grandmaster1,The fires of this place will turn you to ashes,Огънят тук ще те превърне в пепел,
,Hawk Knight,Hawk Knight,Рицар Ястреб,
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,"Благороден. Ужасно шумен. Много досаден, наистина",
,Hermit Crab,Hermit Crab,Рак Отшелник,
,Hermit Crab1,"Sure they're crabs, but most hermits are easier to avoid","Наистина са раци, но повечето отшелници са лесни за избягване",
,King,King,Крал,
,King1,"""All the world will be your enemy""","""Целият свят ще ти бъде враг""",
,Lil Bee,Li'l Bee,Малка Пчеличка,
,Lil Bee1,These small bees are all drones of the queen ,Всички тези малки пчелички са търтеи на кралицата,
,Living Shadow,Living Shadow,Жива Сянка,
,Living Shadow1,A dark shadow of yourself.  Doppel-get-over-it!,Твоя жива сянка. Вземи се в ръце!,
,Muskrat Brigand,Muskrat Brigand,Ондатра Разбойник,
,Muskrat Brigand1,"Tiny, spiny, they'll kick you in your... face","Малки, бодливи, ще те сритат в ... лицето",
